CaptureIndex,ServiceID,ServiceVersion,MessageID,MessageType,HeadSize,MessageSize,MessageEncoding,LocalTime,SeqNo,EventTime,SecurityID,MDStreamID,SecurityIDSource,TradingPhaseCode,EventType,TickBSFlag,ChannelNo,ApplicationSequence,BidApplicationSequence,OfferApplicationSequence,Side,OrderType,ExecutionType,Price,Quantity,TradeCount,Volume,Turnover,PreClosePrice,OpenPrice,HighPrice,LowPrice,LastPrice,TotalBidQuantity,WeightedAverageBidPrice,TotalOfferQuantity,WeightedAverageOfferPrice
17,4,101,4,SHL2MarketData,23,1164,1,16:26:32.846,14885350,16:26:32.000,688290,,,,ENDTR,,,,,,,,,,,4874,1388757.000,69789921.89000,51.000,50.720,53.110,47.250,51.000,93012.000,47.444,140361.000,54.637
18,4,101,4,SHL2MarketData,23,1020,1,16:26:32.846,14885351,16:26:32.000,601133,,,,ENDTR,,,,,,,,,,,82865,35165985.000,929195675.57000,27.400,26.370,28.940,24.660,28.760,275200.000,26.621,495900.000,29.485
19,4,101,4,SHL2MarketData,23,876,1,16:26:32.846,14885352,16:26:32.000,563180,,,,ENDTR,,,,,,,,,,,1186,7534700.000,8521862.60000,1.131,1.132,1.145,1.120,1.127,1748100.000,1.099,1547200.000,1.140
20,4,101,4,SHL2MarketData,23,924,1,16:26:32.979,14885353,16:26:32.000,600007,,,,ENDTR,,,,,,,,,,,11608,3447903.000,65993999.67000,19.070,19.150,19.500,18.860,18.930,64197.000,18.767,155800.000,19.532
21,4,101,4,SHL2MarketData,23,1356,1,16:26:32.979,14885354,16:26:32.000,600549,,,,ENDTR,,,,,,,,,,,250361,84218945.000,3996291526.82000,47.150,47.150,50.390,43.040,50.180,2035528.000,46.554,1544364.000,51.214
22,4,101,4,SHL2MarketData,23,1052,1,16:26:32.979,14885355,16:26:32.000,600444,,,,ENDTR,,,,,,,,,,,8291,4057701.000,49085429.12000,12.350,12.390,12.440,11.770,12.180,213400.000,12.063,315300.000,12.706
23,4,101,4,SHL2MarketData,23,580,1,16:26:32.979,14885356,16:26:32.000,600992,,,,ENDTR,,,,,,,,,,,24816,26087481.000,261841852.42000,11.030,10.900,10.900,9.930,9.930,0.000,0.000,1351800.000,11.314
24,4,101,4,SHL2MarketData,23,988,1,16:26:32.979,14885357,16:26:32.000,603008,,,,ENDTR,,,,,,,,,,,3127,4774700.000,36857312.00000,7.870,7.880,7.890,7.640,7.770,714700.000,7.646,539000.000,8.112
25,4,101,4,SHL2MarketData,23,924,1,16:26:32.979,14885358,16:26:32.000,601137,,,,ENDTR,,,,,,,,,,,41727,26582832.000,443976817.10000,16.320,16.420,17.410,15.830,17.330,893490.000,15.992,866300.000,17.680
26,4,101,4,SHL2MarketData,23,924,1,16:26:32.979,14885359,16:26:32.000,601198,,,,ENDTR,,,,,,,,,,,36814,27039473.000,372297392.20000,13.690,13.700,13.940,13.620,13.790,1066500.000,13.636,3573800.000,14.528
27,4,101,4,SHL2MarketData,23,1372,1,16:26:32.979,14885360,16:26:32.000,515450,,,,ENDTR,,,,,,,,,,,20808,382226400.000,547022888.30000,1.431,1.428,1.453,1.413,1.416,6422900.000,1.404,17238400.000,1.449
28,4,101,4,SHL2MarketData,23,1364,1,16:26:32.979,14885361,16:26:32.000,603580,,,,ENDTR,,,,,,,,,,,7097,5485700.000,199919171.00000,40.430,36.390,38.000,36.390,36.390,0.000,0.000,3525747.000,37.238
29,4,101,4,SHL2MarketData,23,908,1,16:26:32.979,14885362,16:26:32.000,688133,,,,ENDTR,,,,,,,,,,,15850,9847971.000,204193012.78000,20.800,20.900,22.090,19.200,21.900,883584.000,20.472,845593.000,23.902
30,4,101,4,SHL2MarketData,23,2444,1,16:26:32.979,14885363,16:26:32.000,562500,,,,ENDTR,,,,,,,,,,,80099,874761282.000,831798591.36300,0.934,0.937,0.978,0.913,0.978,62495312.000,0.929,49681166.000,0.998
31,4,101,4,SHL2MarketData,23,876,1,16:26:32.979,14885364,16:26:32.000,688398,,,,ENDTR,,,,,,,,,,,10556,5746051.000,111168659.41000,20.240,20.100,20.700,18.060,19.850,194283.000,18.341,116917.000,20.999
32,4,101,4,SHL2MarketData,23,924,1,16:26:32.979,14885365,16:26:32.000,688135,,,,ENDTR,,,,,,,,,,,61857,27044312.000,619117738.88000,22.460,22.800,24.800,20.100,24.760,511904.000,21.793,846008.000,25.630
33,4,101,4,SHL2MarketData,23,880,1,16:26:32.980,14885366,16:26:32.000,517010,,,,ENDTR,,,,,,,,,,,51,4404500.000,4895694.70000,1.112,1.114,1.131,1.105,1.128,756600.000,1.123,740500.000,1.134
34,4,101,4,SHL2MarketData,23,940,1,16:26:32.980,14885367,16:26:32.000,688391,,,,ENDTR,,,,,,,,,,,5994,2593096.000,61380507.53000,23.410,24.010,24.440,22.500,24.400,336259.000,21.814,234510.000,26.522
35,4,101,4,SHL2MarketData,23,988,1,16:26:32.980,14885368,16:26:32.000,563030,,,,ENDTR,,,,,,,,,,,487,3713300.000,5638214.50000,1.490,1.490,1.548,1.471,1.547,1198100.000,1.528,1505600.000,1.563
36,4,101,4,SHL2MarketData,23,1292,1,16:26:32.980,14885369,16:26:32.000,588700,,,,ENDTR,,,,,,,,,,,4434,64138400.000,64460354.50000,1.016,1.015,1.026,0.981,1.026,4156700.000,1.010,3562100.000,1.038
37,4,101,4,SHL2MarketData,23,924,1,16:26:32.980,14885370,16:26:32.000,588770,,,,ENDTR,,,,,,,,,,,1834,24348700.000,48143210.60000,1.870,1.888,2.117,1.811,2.107,851900.000,2.067,482100.000,2.117
38,4,101,4,SHL2MarketData,23,892,1,16:26:32.983,14885371,16:26:32.000,900938,,,,ENDTR,,,,,,,,,,,332,4297917.000,886394.73600,0.201,0.208,0.211,0.202,0.205,363300.000,0.199,1060912.000,0.214
39,6,101,28,Snapshot300111_v2,23,952,1,16:26:33.151,16916386,16:26:33.000,000048,010,102 ,E0      ,,,1012,,,,,,,,,44016,30702800,587072384.7300,18.3800,18.380000,20.220000,17.020000,20.220000,925200,19.220000,0,0.000000
40,6,101,28,Snapshot300111_v2,23,1392,1,16:26:33.151,16916387,16:26:33.000,000019,010,102 ,E0      ,,,1013,,,,,,,,,9431,7787438,46462349.6100,6.0500,6.050000,6.080000,5.910000,5.940000,655000,5.880000,1973800,6.300000
41,6,101,28,Snapshot300111_v2,23,1096,1,16:26:33.151,16916388,16:26:33.000,000333,010,102 ,E0      ,,,1014,,,,,,,,,143417,45909911,3881820711.3500,84.3000,84.150000,85.750000,83.610000,84.270000,1432800,82.350000,4632083,86.700000
42,6,101,28,Snapshot300111_v2,23,1416,1,16:26:33.151,16916389,16:26:33.000,000032,010,102 ,E0      ,,,1015,,,,,,,,,127500,72077928,1095438232.2300,14.8400,14.960000,16.200000,13.870000,16.060000,1381615,14.760000,1713600,16.260000
43,6,101,28,Snapshot300111_v2,23,912,1,16:26:33.151,16916390,16:26:33.000,000610,010,102 ,E0      ,,,1013,,,,,,,,,2808,5419475,27244391.7500,5.2000,5.200000,5.250000,4.910000,5.030000,599100,4.940000,597500,5.390000
44,6,101,28,Snapshot300111_v2,23,1128,1,16:26:33.151,16916391,16:26:33.000,000503,010,102 ,E0      ,,,1012,,,,,,,,,28417,35975254,230092334.7800,6.7800,6.410000,6.600000,6.270000,6.400000,2123484,6.280000,3099000,7.080000
45,6,101,28,Snapshot300111_v2,23,888,1,16:26:33.151,16916392,16:26:33.000,000680,010,102 ,E0      ,,,1012,,,,,,,,,47735,28103951,294036386.4000,10.2500,10.310000,10.680000,10.210000,10.460000,1039279,10.250000,2892600,10.920000
46,6,101,28,Snapshot300111_v2,23,1632,1,16:26:33.151,16916393,16:26:33.000,000552,010,102 ,E0      ,,,1015,,,,,,,,,33027,76269400,191929306.4000,2.5200,2.490000,2.540000,2.480000,2.510000,5261500,2.470000,16184604,2.600000
47,6,101,28,Snapshot300111_v2,23,1560,1,16:26:33.151,16916394,16:26:33.000,000768,010,102 ,E0      ,,,1013,,,,,,,,,50097,30274224,623157322.5800,20.4000,20.390000,20.910000,20.300000,20.390000,1393459,20.100000,5808711,21.520000
48,6,101,28,Snapshot300111_v2,23,1256,1,16:26:33.151,16916395,16:26:33.000,000551,010,102 ,E0      ,,,1014,,,,,,,,,53101,34482742,425651865.3700,12.2400,12.410000,12.940000,11.480000,12.870000,1063500,12.100000,1076784,13.120000
49,6,101,28,Snapshot300111_v2,23,864,1,16:26:33.151,16916396,16:26:33.000,000691,010,102 ,E0      ,,,1014,,,,,,,,,14928,19826010,181961498.3000,9.8600,9.720000,9.870000,8.870000,9.650000,799800,9.270000,1215200,10.350000
50,6,101,28,Snapshot300111_v2,23,1616,1,16:26:33.151,16916397,16:26:33.000,000892,010,102 ,E0      ,,,1012,,,,,,,,,54609,112896001,393542548.2500,3.5400,3.480000,3.840000,3.190000,3.480000,7051500,3.330000,9844700,3.800000
51,6,101,28,Snapshot300111_v2,23,1488,1,16:26:33.151,16916398,16:26:33.000,000720,010,102 ,E0      ,,,1015,,,,,,,,,64620,90053434,279909216.2700,3.3100,3.370000,3.400000,3.000000,3.210000,5635200,3.060000,5651500,3.490000
52,6,101,28,Snapshot300111_v2,23,1272,1,16:26:33.151,16916399,16:26:33.000,000877,010,102 ,E0      ,,,1014,,,,,,,,,15961,16984675,62198105.0000,3.7100,3.700000,3.750000,3.620000,3.640000,2273400,3.580000,4052621,3.860000
53,6,101,28,Snapshot300111_v2,23,1632,1,16:26:33.151,16916400,16:26:33.000,000882,010,102 ,E0      ,,,1013,,,,,,,,,15604,57088300,76565135.0000,1.3600,1.360000,1.370000,1.320000,1.340000,12083600,1.310000,21689650,1.410000
54,6,101,28,Snapshot300111_v2,23,912,1,16:26:33.152,16916401,16:26:33.000,000020,010,102 ,E0      ,,,1011,,,,,,,,,14927,5417005,51920361.4000,9.7600,9.760000,9.900000,9.150000,9.770000,194900,9.330000,390600,10.330000
55,6,101,28,Snapshot300111_v2,23,880,1,16:26:33.152,16916402,16:26:33.000,000544,010,102 ,E0      ,,,1011,,,,,,,,,9038,5670824,41548435.6100,7.3600,7.350000,7.410000,7.270000,7.300000,332000,7.220000,879250,7.630000
56,6,101,28,Snapshot300111_v2,23,1608,1,16:26:33.152,16916403,16:26:33.000,000690,010,102 ,E0      ,,,1011,,,,,,,,,50359,100075089,486067355.1500,4.9200,4.830000,4.940000,4.760000,4.920000,7422386,4.790000,9842453,5.140000
57,6,101,28,Snapshot300111_v2,23,872,1,16:26:33.152,16916404,16:26:33.000,000885,010,102 ,E0      ,,,1011,,,,,,,,,15240,7220141,91045326.5300,12.5200,12.530000,12.740000,12.500000,12.550000,248000,12.430000,854280,12.980000
58,6,101,28,Snapshot300111_v2,23,1240,1,16:26:33.152,16916405,16:26:33.000,000875,010,102 ,E0      ,,,1015,,,,,,,,,36067,79678121,411272893.2600,5.1800,5.100000,5.230000,5.060000,5.200000,6313700,5.100000,7392000,5.410000
59,4,101,4,SHL2MarketData,23,988,1,16:26:33.191,14885372,16:26:33.000,600818,,,,ENDTR,,,,,,,,,,,1748,4808700.000,26881889.00000,5.710,5.710,5.720,5.530,5.660,1787800.000,5.538,1221000.000,5.995
60,4,101,4,SHL2MarketData,23,1532,1,16:26:33.191,14885373,16:26:33.000,600378,,,,ENDTR,,,,,,,,,,,217428,76717882.000,3232378648.09000,42.190,42.200,45.090,38.560,44.980,1094350.000,42.512,754798.000,45.850
61,4,101,4,SHL2MarketData,23,1580,1,16:26:33.191,14885374,16:26:33.000,600727,,,,ENDTR,,,,,,,,,,,18776,15957300.000,107777867.00000,6.860,6.820,6.870,6.610,6.860,1060700.000,6.689,1279900.000,7.178
62,4,101,4,SHL2MarketData,23,1084,1,16:26:33.191,14885375,16:26:33.000,600830,,,,ENDTR,,,,,,,,,,,7528,4969300.000,39009154.60000,7.890,7.890,7.970,7.770,7.870,854500.000,7.542,1463094.000,8.067
63,4,101,4,SHL2MarketData,23,1164,1,16:26:33.191,14885376,16:26:33.000,600530,,,,ENDTR,,,,,,,,,,,9306,10308950.000,48715464.00000,4.820,4.830,4.940,4.540,4.830,616800.000,4.649,678600.000,5.084
64,4,101,4,SHL2MarketData,23,1364,1,16:26:33.191,14885377,16:26:33.000,603773,,,,ENDTR,,,,,,,,,,,101168,26139822.000,2013768881.23000,76.950,78.050,84.650,69.260,84.650,517800.000,78.675,0.000,0.000
65,4,101,4,SHL2MarketData,23,1964,1,16:26:33.191,14885378,16:26:33.000,603698,,,,ENDTR,,,,,,,,,,,89081,44072921.000,1040470733.19000,23.480,24.000,24.730,21.860,24.180,783305.000,22.916,1374611.000,25.305
66,4,101,4,SHL2MarketData,23,1356,1,16:26:33.191,14885379,16:26:33.000,512290,,,,ENDTR,,,,,,,,,,,10031,176987400.000,179610161.50000,1.020,1.020,1.030,1.000,1.029,12566900.000,0.998,16424577.000,1.058
67,4,101,4,SHL2MarketData,23,1452,1,16:26:33.191,14885380,16:26:33.000,601595,,,,ENDTR,,,,,,,,,,,34086,13906540.000,239343141.60000,17.670,17.330,17.900,16.920,17.070,451400.000,16.875,832300.000,18.086
68,4,101,4,SHL2MarketData,23,892,1,16:26:33.191,14885381,16:26:33.000,688268,,,,ENDTR,,,,,,,,,,,43949,15174584.000,2106122327.27000,146.900,131.280,156.130,123.000,156.080,397871.000,140.744,222591.000,165.993
69,4,101,4,SHL2MarketData,23,940,1,16:26:33.191,14885382,16:26:33.000,603776,,,,ENDTR,,,,,,,,,,,6537,3934328.000,73236330.85000,18.990,18.810,19.190,18.110,18.720,177000.000,18.348,311551.000,19.781
70,4,101,4,SHL2MarketData,23,872,1,16:26:33.191,14885383,16:26:33.000,501045,,,,ENDTR,,,,,,,,,,,36,94725.000,150217.92800,1.552,1.552,1.600,1.552,1.600,95006.000,1.522,67100.000,1.612
71,4,101,4,SHL2MarketData,23,972,1,16:26:33.191,14885384,16:26:33.000,513890,,,,ENDTR,,,,,,,,,,,2868,73976100.000,68565061.80000,0.922,0.922,0.936,0.917,0.934,4484800.000,0.927,3919500.000,0.944
72,4,101,4,SHL2MarketData,23,1052,1,16:26:33.191,14885385,16:26:33.000,603893,,,,ENDTR,,,,,,,,,,,147028,34333852.000,6993016911.20000,208.000,206.910,212.880,190.000,208.050,1016084.000,200.672,1074767.000,217.540
73,4,101,4,SHL2MarketData,23,908,1,16:26:33.191,14885386,16:26:33.000,605336,,,,ENDTR,,,,,,,,,,,1569,1721300.000,15641710.00000,9.550,9.480,9.800,8.620,9.160,151500.000,8.831,265800.000,10.275
74,4,101,4,SHL2MarketData,23,908,1,16:26:33.191,14885387,16:26:33.000,688768,,,,ENDTR,,,,,,,,,,,4920,1620166.000,61686500.12000,38.340,38.920,40.210,35.080,38.960,63166.000,36.814,75871.000,41.660
75,4,101,4,SHL2MarketData,23,908,1,16:26:33.191,14885388,16:26:33.000,688115,,,,ENDTR,,,,,,,,,,,11868,3620070.000,142694676.62000,41.260,39.160,42.980,34.860,41.910,50104.000,36.021,49026.000,44.971
76,4,101,4,SHL2MarketData,23,892,1,16:26:33.191,14885389,16:26:33.000,688435,,,,ENDTR,,,,,,,,,,,8668,2783534.000,70745312.03000,26.020,26.060,26.650,23.920,26.330,78109.000,24.951,89203.000,28.102
77,4,101,4,SHL2MarketData,23,988,1,16:26:33.191,14885390,16:26:33.000,603062,,,,ENDTR,,,,,,,,,,,3453,723736.000,24380260.00000,34.050,33.920,34.500,32.840,34.350,35400.000,33.158,85700.000,36.365
78,4,101,4,SHL2MarketData,23,924,1,16:26:33.191,14885391,16:26:33.000,589890,,,,ENDTR,,,,,,,,,,,563,6392200.000,9746497.20000,1.501,1.509,1.746,1.436,1.640,660300.000,1.579,657400.000,1.659
79,6,101,28,Snapshot300111_v2,23,856,1,16:26:33.301,16916406,16:26:33.000,001278,010,102 ,E0      ,,,1012,,,,,,,,,9130,3965700,52686831.0000,13.7300,13.600000,13.840000,12.660000,13.530000,142100,12.690000,240300,13.820000
80,6,101,28,Snapshot300111_v2,23,1584,1,16:26:33.301,16916407,16:26:33.000,000987,010,102 ,E0      ,,,1013,,,,,,,,,28335,40816252,314564898.6000,7.6300,7.670000,7.800000,7.610000,7.720000,3192300,7.620000,8814424,8.020000
81,6,101,28,Snapshot300111_v2,23,1440,1,16:26:33.301,16916408,16:26:33.000,000990,010,102 ,E0      ,,,1014,,,,,,,,,37636,50588071,458545939.5000,9.2500,9.100000,9.220000,8.830000,9.220000,2031637,8.970000,4008065,9.620000
82,6,101,28,Snapshot300111_v2,23,952,1,16:26:33.301,16916409,16:26:33.000,001258,010,102 ,E0      ,,,1011,,,,,,,,,110354,158971100,1579363417.4300,9.1000,10.010000,10.010000,9.550000,10.010000,8053879,9.780000,0,0.000000
83,6,101,28,Snapshot300111_v2,23,1088,1,16:26:33.301,16916410,16:26:33.000,002047,010,102 ,E0      ,,,1012,,,,,,,,,17118,36208908,111928406.6800,3.1900,3.250000,3.290000,2.870000,3.220000,1501500,3.040000,2278700,3.320000
84,6,101,28,Snapshot300111_v2,23,1056,1,16:26:33.301,16916411,16:26:33.000,001338,010,102 ,E0      ,,,1013,,,,,,,,,13099,9141200,77050495.0000,8.5900,8.590000,8.630000,8.300000,8.320000,325400,8.240000,704500,8.890000
85,6,101,28,Snapshot300111_v2,23,880,1,16:26:33.301,16916412,16:26:33.000,001360,010,102 ,E0      ,,,1014,,,,,,,,,11547,4819087,62267215.0700,13.3600,13.400000,13.500000,12.220000,13.440000,140800,12.830000,156700,13.910000
86,6,101,28,Snapshot300111_v2,23,1096,1,16:26:33.301,16916413,16:26:33.000,001201,010,102 ,E0      ,,,1015,,,,,,,,,8410,6117663,68467196.4700,11.5700,11.570000,11.610000,10.960000,11.090000,234900,10.960000,641400,11.820000
87,6,101,28,Snapshot300111_v2,23,1632,1,16:26:33.301,16916414,16:26:33.000,002171,010,102 ,E0      ,,,1012,,,,,,,,,79861,68951460,621025487.5600,8.8100,8.900000,9.260000,8.590000,9.260000,3098400,8.890000,3868300,9.520000
88,6,101,28,Snapshot300111_v2,23,1160,1,16:26:33.301,16916415,16:26:33.000,002059,010,102 ,E0      ,,,1013,,,,,,,,,8604,8891002,37640533.4800,4.2700,4.280000,4.300000,4.210000,4.230000,1283300,4.150000,2752198,4.410000
89,6,101,28,Snapshot300111_v2,23,904,1,16:26:33.301,16916416,16:26:33.000,002126,010,102 ,E0      ,,,1013,,,,,,,,,81083,27002504,1158629200.1100,41.5000,41.990000,44.000000,41.390000,43.660000,689200,42.030000,973200,44.650000
90,6,101,28,Snapshot300111_v2,23,952,1,16:26:33.301,16916417,16:26:33.000,002068,010,102 ,E0      ,,,1014,,,,,,,,,48445,49276979,361404624.0300,7.3400,7.370000,8.070000,6.690000,8.070000,10889329,7.950000,0,0.000000
91,6,101,28,Snapshot300111_v2,23,1096,1,16:26:33.301,16916418,16:26:33.000,002187,010,102 ,E0      ,,,1014,,,,,,,,,17333,13854500,66261476.0000,4.8700,4.890000,4.900000,4.710000,4.790000,1100100,4.730000,1393400,5.060000
92,6,101,28,Snapshot300111_v2,23,1368,1,16:26:33.301,16916419,16:26:33.000,001391,010,102 ,E0      ,,,1015,,,,,,,,,30809,44834881,196930163.9600,4.3800,4.350000,4.470000,4.310000,4.330000,3191041,4.270000,8747243,4.600000
93,6,101,28,Snapshot300111_v2,23,1112,1,16:26:33.302,16916420,16:26:33.000,002264,010,102 ,E0      ,,,1012,,,,,,,,,23474,21921820,131461115.6000,5.9800,5.950000,6.100000,5.850000,6.080000,1129600,5.950000,1398300,6.330000
94,6,101,28,Snapshot300111_v2,23,1328,1,16:26:33.302,16916421,16:26:33.000,002351,010,102 ,E0      ,,,1012,,,,,,,,,27182,16357970,168584877.0500,10.2700,10.110000,10.510000,10.110000,10.200000,755900,10.030000,3457400,10.780000
95,6,101,28,Snapshot300111_v2,23,960,1,16:26:33.302,16916422,16:26:33.000,002304,010,102 ,E0      ,,,1014,,,,,,,,,48751,14146544,578389954.8800,40.9400,40.600000,41.870000,40.110000,40.270000,461200,39.510000,1368569,43.060000
96,6,101,28,Snapshot300111_v2,23,1264,1,16:26:33.302,16916423,16:26:33.000,002021,010,102 ,E0      ,,,1011,,,,,,,,,15249,29583483,65024055.8900,2.2400,2.260000,2.270000,2.130000,2.230000,3142200,2.130000,4443601,2.340000
97,6,101,28,Snapshot300111_v2,23,1632,1,16:26:33.302,16916424,16:26:33.000,002137,010,102 ,E0      ,,,1011,,,,,,,,,45616,52752967,365622110.5300,6.9000,7.000000,7.250000,6.480000,7.240000,2615100,6.810000,2760900,7.440000
98,6,101,28,Snapshot300111_v2,23,976,1,16:26:33.302,16916425,16:26:33.000,002222,010,102 ,E0      ,,,1011,,,,,,,,,145062,39781984,2205218932.7500,55.1500,56.550000,59.860000,49.650000,59.580000,862599,54.490000,956350,60.310000
99,6,101,28,Snapshot300111_v2,23,976,1,16:26:33.302,16916426,16:26:33.000,002286,010,102 ,E0      ,,,1013,,,,,,,,,12115,9070000,67994426.0000,7.7500,7.800000,7.800000,7.320000,7.520000,539100,7.330000,654100,8.060000
100,6,101,28,Snapshot300111_v2,23,904,1,16:26:33.302,16916427,16:26:33.000,002095,010,102 ,E0      ,,,1015,,,,,,,,,8370,3529530,47113206.0200,13.4400,13.320000,13.700000,13.080000,13.410000,297300,13.160000,621920,14.110000
101,6,101,28,Snapshot300111_v2,23,1008,1,16:26:33.302,16916428,16:26:33.000,002182,010,102 ,E0      ,,,1015,,,,,,,,,33068,23498723,261978072.1300,10.8900,10.900000,11.390000,10.740000,11.350000,1196126,10.920000,1464940,11.610000
102,6,101,28,Snapshot300111_v2,23,1352,1,16:26:33.302,16916429,16:26:33.000,002300,010,102 ,E0      ,,,1011,,,,,,,,,25076,18703794,108145524.4700,5.8600,5.850000,5.910000,5.590000,5.880000,1448534,5.710000,1657110,6.150000
103,4,101,4,SHL2MarketData,23,1852,1,16:26:33.328,14885392,16:26:33.000,600210,,,,ENDTR,,,,,,,,,,,26977,30056264.000,197434649.00000,6.560,6.550,6.640,6.500,6.550,863800.000,6.477,7488697.000,6.832
104,4,101,4,SHL2MarketData,23,1084,1,16:26:33.328,14885393,16:26:33.000,600165,,,,ENDTR,,,,,,,,,,,1700,7980700.000,17736639.00000,2.190,2.200,2.270,2.150,2.250,1769500.000,2.155,1924326.000,2.319
105,4,101,4,SHL2MarketData,23,1660,1,16:26:33.328,14885394,16:26:33.000,600563,,,,ENDTR,,,,,,,,,,,38104,7890546.000,998414086.86000,121.800,122.500,131.310,120.180,130.480,365427.000,123.355,427678.000,132.262
106,4,101,4,SHL2MarketData,23,1100,1,16:26:33.328,14885395,16:26:33.000,600243,,,,ENDTR,,,,,,,,,,,1887,8475675.000,23326681.25000,2.860,2.840,2.900,2.580,2.840,686900.000,2.694,1126900.000,2.910
107,4,101,4,SHL2MarketData,23,1708,1,16:26:33.328,14885396,16:26:33.000,603179,,,,ENDTR,,,,,,,,,,,49558,20382022.000,846985110.76000,40.810,40.980,43.240,39.950,42.610,652260.000,41.074,1014078.000,43.728
